date,Rionegro.mean_pm25,Rionegro.mean_s,Rionegro.mean_t,id
9/18/2020 10:15:05.000000000 AM,,,,Rionegro
9/18/2020 10:15:07.500000000 AM,,,,Rionegro
9/18/2020 10:15:10.000000000 AM,,,,Rionegro
9/18/2020 10:15:12.500000000 AM,9,40,25,Rionegro
9/18/2020 10:15:15.000000000 AM,,,,Rionegro
9/18/2020 10:15:17.500000000 AM,,,,Rionegro
9/18/2020 10:15:20.000000000 AM,,,,Rionegro
9/18/2020 10:15:22.500000000 AM,,,,Rionegro
9/18/2020 10:15:25.000000000 AM,9,40,25,Rionegro
9/18/2020 10:15:27.500000000 AM,,,,Rionegro
9/18/2020 10:15:30.000000000 AM,,,,Rionegro
9/18/2020 10:15:32.500000000 AM,,,,Rionegro
9/18/2020 10:15:35.000000000 AM,,,,Rionegro
9/18/2020 10:15:37.500000000 AM,,,,Rionegro
9/18/2020 10:15:40.000000000 AM,,,,Rionegro
9/18/2020 10:15:42.500000000 AM,8,40,25,Rionegro
9/18/2020 10:15:45.000000000 AM,,,,Rionegro
9/18/2020 10:15:47.500000000 AM,,,,Rionegro
9/18/2020 10:15:50.000000000 AM,,,,Rionegro
9/18/2020 10:15:52.500000000 AM,,,,Rionegro
9/18/2020 10:15:55.000000000 AM,8,40,25,Rionegro
9/18/2020 10:15:57.500000000 AM,,,,Rionegro
9/18/2020 10:16:00.000000000 AM,,,,Rionegro
9/18/2020 10:16:02.500000000 AM,,,,Rionegro
9/18/2020 10:16:05.000000000 AM,,,,Rionegro
9/18/2020 10:16:07.500000000 AM,,,,Rionegro
9/18/2020 10:16:10.000000000 AM,,,,Rionegro
